Orientation,Internal Slug,Preference Expression,Confidence,Interpretation
Discernment,discernment,0.875,0.5601,Preference/orientation only; not ability or moral worth.
Transcendence,transcendence,0.625,0.5601,Preference/orientation only; not ability or moral worth.
Stewardship,stewardship,0.5,0.6494,Preference/orientation only; not ability or moral worth.
Exploration,exploration,0.5,0.6494,Preference/orientation only; not ability or moral worth.
Directive Agency,agency,0.375,0.5601,Preference/orientation only; not ability or moral worth.
Relational-First Orientation,connection,0.0,0.6494,Preference/orientation only; not ability or moral worth.
